# Delta_SO

# ADC2
4.97  # E_cut = 10  
5.33  # E_cut = 20  
6.04  # E_cut = 40  
6.93  # E_cut = 80  
7.37  # E_cut = 100  
8.60  # E_cut = infty

# ADC3
8.74  # E_cut = infty
